Timestamp,CSI Data
2024-09-09 15:26:15,",10,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3374180,0,83,0,128,1,""[83,-80,4,0,-11,-2,-12,3,-13,8,-15,12,-17,15,-18,17,-19,19,-20,19,-21,19,-21,18,-20,17,-18,16,-16,15,-13,14,-9,13,-5,13,-2,14,2,15,5,16,7,17,8,19,9,20,9,21,9,22,8,22,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-14,6,-16,9,-18,13,-19,16,-19,19,-18,20,-16,20,-14,19,-11,16,-8,13,-6,8,-5,3,-5,-2,-6,-7,-9,-11,-11,-14,-15,-16,-18,-18,-20,-18,-23,-18,-24,-17,-25,-16,-24,-14,-23,-12,-20,-12,-17]"""
2024-09-09 15:26:15,",11,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3382372,0,83,0,128,1,""[83,-80,4,0,9,-4,8,-9,8,-14,8,-18,8,-22,9,-24,10,-26,10,-27,11,-27,11,-27,10,-25,9,-24,7,-22,5,-20,2,-17,-1,-15,-5,-14,-9,-14,-12,-14,-15,-15,-16,-16,-17,-17,-18,-18,-18,-19,-17,-19,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,1,17,-1,21,-4,23,-7,25,-10,25,-12,24,-13,22,-14,18,-13,14,-10,11,-6,8,-2,6,4,4,9,4,13,5,18,7,22,8,24,10,26,12,26,14,26,15,24,15,22,14,19,12,17,10]"""
2024-09-09 15:26:15,",12,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3382807,0,83,0,128,1,""[83,-80,4,0,-11,-2,-12,3,-13,8,-15,13,-17,16,-18,18,-19,20,-20,21,-20,21,-20,20,-19,19,-18,18,-15,17,-12,15,-9,14,-5,14,-1,14,3,15,6,16,8,17,10,19,11,20,11,21,11,22,10,22,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,4,-15,7,-17,10,-19,14,-20,17,-20,19,-19,21,-17,21,-14,20,-11,17,-8,13,-6,9,-5,3,-6,-2,-7,-7,-9,-11,-12,-14,-15,-17,-18,-18,-21,-19,-23,-19,-24,-18,-25,-17,-25,-15,-23,-13,-20,-12,-18]"""
2024-09-09 15:26:15,",13,d8:d8:66:4a:d4:1e,-45,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3383403,0,83,0,128,1,""[83,-80,4,0,-32,-18,-30,-18,-28,-18,-26,-16,-23,-14,-20,-10,-17,-6,-14,-1,-11,4,-9,9,-9,14,-8,19,-9,24,-10,27,-11,29,-12,30,-13,30,-14,29,-13,27,-13,24,-11,21,-8,19,-6,16,-2,15,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,17,15,14,15,10,13,6,9,4,4,4,-1,4,-7,5,-13,8,-18,11,-21,15,-24,18,-25,21,-24,23,-23,24,-21,23,-19,20,-16,17,-13,12,-11,7,-9,0,-8,-6,-8,-12,-9,-18,-10,-22,-12,-26,-14]"""
2024-09-09 15:26:15,",14,d8:d8:66:4a:d4:1e,-45,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3409925,0,83,0,128,1,""[83,-80,4,0,19,-31,19,-29,19,-27,17,-24,14,-22,10,-19,6,-17,1,-15,-4,-14,-9,-14,-14,-14,-18,-15,-22,-16,-24,-18,-25,-19,-26,-21,-26,-22,-25,-22,-23,-21,-21,-20,-18,-17,-17,-14,-16,-11,-16,-8,-16,-6,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-9,21,-9,18,-9,14,-7,9,-3,6,2,3,8,2,14,2,19,4,23,7,26,10,27,14,27,17,26,19,24,20,21,19,18,18,15,15,12,10,10,5,9,-1,8,-7,9,-13,10,-18,12,-23,14,-26]"""
2024-09-09 15:26:15,",15,d8:d8:66:4a:d4:1e,-45,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3416901,0,83,0,128,1,""[83,-80,4,0,1,35,-1,34,-1,32,-1,29,-1,25,1,21,4,16,7,12,10,8,14,5,18,2,22,0,26,0,29,0,31,1,32,2,32,3,31,3,29,4,26,4,23,3,20,1,18,-1,17,-4,16,-6,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-6,-6,-23,-4,-21,-1,-17,-1,-12,-2,-7,-5,-2,-9,2,-14,5,-19,7,-24,7,-28,6,-31,3,-33,1,-33,-2,-32,-4,-29,-5,-26,-5,-21,-4,-16,-2,-11,1,-7,5,-3,10,-1,15,1,20,2,25,2,29]"""
2024-09-09 15:26:15,",16,d8:d8:66:4a:d4:1e,-45,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3417273,0,83,0,128,1,""[83,-80,4,0,29,9,28,10,26,10,24,9,21,7,18,4,15,1,12,-3,10,-7,8,-11,8,-15,8,-19,8,-23,9,-25,10,-26,11,-27,12,-27,13,-26,12,-24,11,-22,10,-19,8,-17,5,-16,3,-15,1,-15,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-21,-2,-18,-4,-14,-4,-10,-4,-6,-1,-3,3,-1,8,1,13,0,17,-1,21,-3,24,-6,26,-9,27,-11,27,-12,25,-12,22,-12,19,-10,15,-6,12,-2,9,2,7,8,5,13,4,18,4,22,5,25,6]"""
2024-09-09 15:26:15,",17,d8:d8:66:4a:d4:1e,-45,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3417788,0,83,0,128,1,""[83,-80,4,0,-29,-22,-27,-22,-25,-22,-23,-20,-20,-17,-18,-13,-16,-8,-15,-3,-14,2,-14,7,-15,12,-16,16,-18,19,-20,22,-22,22,-23,22,-24,22,-24,21,-23,19,-21,17,-19,15,-16,14,-13,14,-10,14,-7,15,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,21,9,17,9,13,9,9,6,6,2,4,-3,3,-9,3,-15,5,-20,8,-24,12,-26,15,-27,18,-27,20,-25,21,-23,21,-20,19,-17,15,-14,11,-12,5,-10,-1,-9,-7,-10,-13,-11,-18,-12,-22,-15,-25,-18]"""
2024-09-09 15:26:15,",18,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3434950,0,83,0,128,1,""[83,-80,4,0,-1,10,4,11,9,12,13,14,16,16,19,17,20,19,21,20,21,20,20,19,19,18,18,16,16,14,15,11,14,7,14,3,14,-1,15,-5,16,-8,17,-10,19,-12,19,-13,21,-13,22,-13,22,-12,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,-14,-7,-16,-10,-18,-13,-19,-17,-18,-20,-17,-23,-15,-24,-12,-24,-9,-22,-7,-19,-5,-15,-4,-10,-5,-5,-7,1,-9,5,-12,9,-16,13,-19,15,-22,17,-24,17,-26,17,-26,16,-26,15,-24,13,-21,11,-19,10]"""
2024-09-09 15:26:15,",19,d8:d8:66:4a:d4:1e,-45,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3442790,0,83,0,128,1,""[83,-80,4,0,29,-13,28,-11,27,-10,24,-9,21,-9,16,-9,12,-10,7,-11,3,-12,-1,-15,-5,-18,-9,-20,-12,-21,-12,-24,-12,-26,-11,-27,-10,-28,-10,-27,-9,-26,-8,-24,-7,-21,-7,-18,-8,-15,-10,-13,-11,-11,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-19,9,-18,6,-15,3,-11,2,-6,2,-1,3,3,6,8,10,10,14,12,18,12,21,11,25,9,27,7,28,5,27,3,26,2,23,2,18,2,14,4,9,6,4,9,-1,12,-5,16,-9,19,-11,23,-12]"""
